NO. 625	(1,1,1,15,24)
NO. 626	(0,2,1,16,25)
NO. 627	(0,2,1,16,25)
NO. 628	(0,1,1,16,26)
NO. 629	(1,1,1,16,25)
NO. 630	(0,2,1,16,26)
NO. 631	(0,2,1,17,26)
NO. 632	(0,1,1,16,27)
NO. 633	(1,1,1,13,25)
NO. 634	(0,2,1,14,26)
NO. 635	(0,2,1,14,26)
NO. 636	(0,1,1,15,27)
NO. 637	(1,1,1,15,26)
NO. 638	(0,2,1,14,27)
NO. 639	(0,2,1,16,27)
NO. 640	(0,1,1,15,28)
NO. 641	(1,2,1,13,22)
NO. 642	(0,3,1,14,23)
NO. 643	(0,3,1,14,23)
NO. 644	(0,2,1,14,24)
NO. 645	(1,2,1,13,23)
NO. 646	(0,3,1,14,24)
NO. 647	(0,3,1,14,24)
NO. 648	(0,2,1,14,25)
NO. 649	(1,1,1,14,23)
NO. 650	(0,2,1,17,24)
NO. 651	(0,2,1,15,24)
NO. 652	(0,1,1,17,25)
NO. 653	(1,1,1,16,24)
NO. 654	(0,2,1,17,25)
NO. 655	(0,2,1,17,25)
NO. 656	(0,1,1,17,26)
NO. 657	(1,1,1,14,23)
NO. 658	(0,2,1,17,24)
NO. 659	(0,2,1,15,24)
NO. 660	(0,1,1,17,25)
NO. 661	(1,1,1,16,24)
NO. 662	(0,2,1,17,25)
NO. 663	(0,2,1,17,25)
NO. 664	(0,1,1,17,26)
NO. 665	(1,1,1,14,24)
NO. 666	(0,2,1,16,25)
NO. 667	(0,2,1,15,25)
NO. 668	(0,1,1,16,26)
NO. 669	(1,1,1,15,25)
NO. 670	(0,2,1,16,26)
NO. 671	(0,2,1,17,26)
NO. 672	(0,1,1,16,27)
NO. 673	(1,1,1,14,23)
NO. 674	(0,2,1,14,24)
NO. 675	(0,2,1,15,24)
NO. 676	(0,1,1,15,25)
NO. 677	(1,1,1,13,24)
NO. 678	(0,2,1,14,25)
NO. 679	(0,2,1,14,25)
NO. 680	(0,1,1,14,26)
NO. 681	(1,1,1,14,24)
NO. 682	(0,2,1,15,25)
NO. 683	(0,2,1,15,25)
NO. 684	(0,1,1,15,26)
NO. 685	(1,1,1,14,25)
NO. 686	(0,2,1,15,26)
NO. 687	(0,2,1,15,26)
NO. 688	(0,1,1,15,27)
NO. 689	(1,1,1,14,24)
NO. 690	(0,2,1,15,25)
NO. 691	(0,2,1,15,25)
NO. 692	(0,1,1,15,26)
NO. 693	(1,1,1,14,25)
NO. 694	(0,2,1,15,26)
NO. 695	(0,2,1,15,26)
NO. 696	(0,1,1,15,27)
NO. 697	(1,1,1,13,25)
NO. 698	(0,2,1,14,26)
NO. 699	(0,2,1,14,26)
NO. 700	(0,1,1,16,27)
NO. 701	(1,1,1,13,26)
NO. 702	(0,2,1,14,27)
NO. 703	(0,2,1,16,27)
NO. 704	(0,1,1,16,28)
NO. 705	(1,1,1,14,23)
NO. 706	(0,2,1,15,24)
NO. 707	(0,2,1,15,24)
NO. 708	(0,1,1,15,25)
NO. 709	(1,1,1,14,24)
NO. 710	(0,2,1,15,25)
NO. 711	(0,2,1,16,25)
NO. 712	(0,1,1,15,26)
NO. 713	(1,1,1,15,24)
NO. 714	(0,2,1,17,25)
NO. 715	(0,2,1,16,25)
NO. 716	(0,1,1,17,26)
NO. 717	(1,1,1,16,25)
NO. 718	(0,2,1,17,26)
NO. 719	(0,2,1,18,26)
NO. 720	(0,1,1,17,27)
NO. 721	(1,1,1,15,24)
NO. 722	(0,2,1,17,25)
NO. 723	(0,2,1,16,25)
NO. 724	(0,1,1,17,26)
NO. 725	(1,1,1,16,25)
NO. 726	(0,2,1,17,26)
NO. 727	(0,2,1,18,26)
NO. 728	(0,1,1,17,27)
NO. 729	(1,1,1,14,25)
NO. 730	(0,2,1,16,26)
NO. 731	(0,2,1,16,26)
NO. 732	(0,1,1,16,27)
NO. 733	(1,1,1,15,26)
NO. 734	(0,2,1,16,27)
NO. 735	(0,2,1,17,27)
NO. 736	(0,1,1,16,28)
NO. 737	(1,1,1,14,24)
NO. 738	(0,2,1,16,25)
NO. 739	(0,2,1,15,25)
NO. 740	(0,1,1,15,26)
NO. 741	(1,1,1,15,25)
NO. 742	(0,2,1,16,26)
NO. 743	(0,2,1,16,26)
NO. 744	(0,1,1,15,27)
NO. 745	(1,1,1,15,25)
NO. 746	(0,2,1,17,26)
NO. 747	(0,2,1,16,26)
NO. 748	(0,1,1,17,27)
NO. 749	(1,1,1,16,26)
NO. 750	(0,2,1,17,27)
NO. 751	(0,2,1,17,27)
NO. 752	(0,1,1,17,28)
NO. 753	(1,1,1,15,25)
NO. 754	(0,2,1,17,26)
NO. 755	(0,2,1,16,26)
NO. 756	(0,1,1,17,27)
NO. 757	(1,1,1,16,26)
NO. 758	(0,2,1,17,27)
NO. 759	(0,2,1,17,27)
NO. 760	(0,1,1,17,28)
NO. 761	(1,1,1,14,26)
NO. 762	(0,2,1,15,27)
NO. 763	(0,2,1,16,27)
NO. 764	(0,1,1,15,28)
NO. 765	(1,1,1,14,27)
NO. 766	(0,2,1,15,28)
NO. 767	(0,2,1,16,28)
NO. 768	(0,1,1,15,29)
NO. 769	(1,2,1,12,22)
NO. 770	(0,3,1,13,23)
NO. 771	(0,3,1,13,23)
NO. 772	(0,2,1,13,24)
NO. 773	(1,2,1,12,23)
NO. 774	(0,3,1,13,24)
NO. 775	(0,3,1,14,24)
NO. 776	(0,2,1,13,25)
NO. 777	(1,1,1,13,23)
